name,apps,mins,goals,xg,Goals vs xG,shots,sot,conv %,xG per Shot
Will Hughes,6,414,0,0.16,-0.16,3,0,0.00%,0.05
Calvin Bassey,7,630,0,0.16,-0.16,2,0,0.00%,0.08
Hjalmar Ekdal,6,533,0,0.16,-0.16,3,1,0.00%,0.05
Josh Cullen,7,592,1,0.15,0.85,2,2,50.00%,0.07
Tim Iroegbunam,5,247,0,0.15,-0.15,3,0,0.00%,0.05
Hugo Bueno,7,440,0,0.14,-0.14,2,1,0.00%,0.07
Granit Xhaka,7,630,0,0.14,-0.14,3,2,0.00%,0.05
Kyle Walker-Peters,6,391,0,0.14,-0.14,3,1,0.00%,0.05
Nordi Mukiele,5,450,0,0.14,-0.14,2,0,0.00%,0.07
Simon Adingra,6,275,0,0.14,-0.14,1,0,0.00%,0.14
Marcos Senesi,7,618,0,0.14,-0.14,2,0,0.00%,0.07
Rodri,5,293,0,0.13,-0.13,3,1,0.00%,0.04
Ferdi Kadioglu,6,375,0,0.13,-0.13,2,1,0.00%,0.06
Kyle Walker,7,630,0,0.13,-0.13,3,0,0.00%,0.04
Quilindschy Hartman,7,628,0,0.13,-0.13,3,2,0.00%,0.04
Mats Wieffer,5,285,0,0.13,-0.13,3,1,0.00%,0.04
James Hill,6,260,0,0.13,-0.13,2,1,0.00%,0.06
Tyler Adams,7,606,0,0.13,-0.13,5,4,0.00%,0.03
Youri Tielemans,4,315,0,0.13,-0.13,5,1,0.00%,0.03
Keane Lewis-Potter,6,401,0,0.12,-0.12,2,0,0.00%,0.06
Adam Wharton,6,455,0,0.12,-0.12,3,0,0.00%,0.04
Reece James,7,424,0,0.12,-0.12,4,2,0.00%,0.03
Pedro Porro,7,547,0,0.12,-0.12,4,0,0.00%,0.03
James Ward-Prowse,5,415,0,0.12,-0.12,2,0,0.00%,0.06
Mateus Fernandes,5,401,0,0.11,-0.11,2,0,0.00%,0.06
Nico O'Reilly,6,392,0,0.10,-0.10,3,0,0.00%,0.03
Nico González,6,351,0,0.10,-0.10,3,0,0.00%,0.03
Pau Torres,4,254,0,0.10,-0.10,2,0,0.00%,0.05
Trai Hume,7,619,0,0.10,-0.10,4,0,0.00%,0.03
William Saliba,6,410,0,0.10,-0.10,1,0,0.00%,0.10
Cristian Romero,7,630,0,0.10,-0.10,2,1,0.00%,0.05
Josko Gvardiol,4,340,0,0.09,-0.09,3,1,0.00%,0.03
Fabian Schär,4,351,0,0.09,-0.09,4,0,0.00%,0.02
Matty Cash,7,608,1,0.09,0.91,5,2,20.00%,0.02
Sven Botman,5,339,0,0.08,-0.08,1,1,0.00%,0.08
Nikola Milenkovic,7,630,0,0.08,-0.08,2,0,0.00%,0.04
Luke Shaw,7,608,0,0.08,-0.08,1,0,0.00%,0.08
Rodrigo Bentancur,6,412,0,0.08,-0.08,2,0,0.00%,0.04
Boubacar Kamara,5,296,0,0.07,-0.07,2,1,0.00%,0.03
Conor Bradley,5,235,0,0.07,-0.07,2,0,0.00%,0.03
Matt Doherty,3,225,0,0.07,-0.07,1,0,0.00%,0.07
Kenny Tete,5,450,0,0.07,-0.07,1,0,0.00%,0.07
Jacob Bruun Larsen,5,237,0,0.06,-0.06,2,0,0.00%,0.03
Diogo Dalot,5,337,0,0.06,-0.06,2,0,0.00%,0.03
Bernardo Silva,7,373,0,0.05,-0.05,1,0,0.00%,0.05
Dan Burn,7,630,0,0.05,-0.05,2,0,0.00%,0.03
Carlos Baleba,7,355,0,0.05,-0.05,3,0,0.00%,0.02
Noah Sadiki,7,623,0,0.05,-0.05,2,0,0.00%,0.03
Manuel Ugarte,6,242,0,0.05,-0.05,2,0,0.00%,0.02
Ezri Konsa,6,516,0,0.04,-0.04,1,1,0.00%,0.04
Malo Gusto,6,313,0,0.04,-0.04,2,0,0.00%,0.02
Adrien Truffert,7,630,0,0.04,-0.04,2,0,0.00%,0.02
Toti Gomes,6,392,0,0.04,-0.04,2,1,0.00%,0.02
Tosin Adarabioyo,4,353,0,0.04,-0.04,1,0,0.00%,0.04
Ola Aina,3,270,0,0.04,-0.04,2,0,0.00%,0.02
Jordan Henderson,7,480,0,0.03,-0.03,1,0,0.00%,0.03
Morato,4,347,0,0.03,-0.03,1,0,0.00%,0.03
Ibrahim Sangaré,5,354,0,0.03,-0.03,2,0,0.00%,0.01
Michael Kayode,7,618,0,0.02,-0.02,1,0,0.00%,0.02
André,7,445,0,0.02,-0.02,1,0,0.00%,0.02
Vitalii Mykolenko,4,356,0,0.02,-0.02,1,0,0.00%,0.02
Ethan Ampadu,5,438,0,0.02,-0.02,1,0,0.00%,0.02
Destiny Udogie,5,302,0,0.02,-0.02,1,0,0.00%,0.02
Reinildo Mandava,5,393,0,0.02,-0.02,1,0,0.00%,0.02
Rúben Dias,7,545,0,0.00,0.00,0,0,0.00%,0.00
John Stones,4,265,0,0.00,0.00,0,0,0.00%,0.00
Florentino,4,297,0,0.00,0.00,0,0,0.00%,0.00
Lamare Bogarde,6,284,0,0.00,0.00,0,0,0.00%,0.00
Jackson Tchatchoua,6,356,0,0.00,0.00,0,0,0.00%,0.00
Murillo,4,307,0,0.00,0.00,0,0,0.00%,0.00
Kieran Trippier,6,430,0,0.00,0.00,0,0,0.00%,0.00
Cristhian Mosquera,5,247,0,0.00,0.00,0,0,0.00%,0.00
Aaron Wan-Bissaka,3,259,0,0.00,0.00,0,0,0.00%,0.00
Bafodé Diakité,6,540,0,0.00,0.00,0,0,0.00%,0.00
Tino Livramento,6,527,0,0.00,0.00,0,0,0.00%,0.00
Joël Veltman,4,325,0,0.00,0.00,0,0,0.00%,0.00
Abdukodir Khusanov,4,228,0,0.00,0.00,0,0,0.00%,0.00
